trade_date,value,ma,ma20,value_ben,buy,sell,return,bench_self
2021-12-31,54135.98209000006,0.11936824605153767,0.08602452202826279,27.73,,,-0.4586401790999994,0.15253532834580225
2022-01-04,55503.98209000006,0.13054862842892748,0.09131338320864532,28.45,,,-0.44496017909999935,0.18246051537822114
2022-01-05,54249.98209000006,0.13441396508728157,0.09565669160432257,27.79,0.1550290939318371,,-0.45750017909999935,0.1550290939318371
2022-01-06,54306.98209000006,0.1395677472984205,0.100124688279302,27.82,,,-0.4569301790999994,0.1562759767248546
2022-01-07,53035.76676000006,0.14264339152119695,0.10381338320864535,27.07,,0.1251039068994182,-0.4696423323999994,0.1251039068994182
2022-01-10,52673.88953000006,0.14808811305070652,0.10737738985868694,27.17,0.1292601828761431,,-0.47326110469999944,0.1292601828761431
2022-01-11,52161.25395000005,0.1495012468827931,0.11009975062344188,26.82,,0.11471321695760606,-0.47838746049999953,0.11471321695760606
2022-01-12,51798.977150000064,0.15054031587697422,0.11331047381546167,27.2,0.13050706566916045,,-0.48201022849999936,0.13050706566916045
2022-01-13,51152.977150000064,0.14264339152119695,0.11593931837074013,26.86,0.11637572734829596,,-0.4884702284999994,0.11637572734829596
2022-01-14,49955.977150000064,0.13524522028262684,0.11545095594347514,26.23,,,-0.5004402284999994,0.09019118869492943
2022-01-17,50677.977150000064,0.13059019118869492,0.11555486284289301,26.61,,,-0.49322022849999936,0.10598503740648382
2022-01-18,50012.977150000064,0.12148794679966743,0.11555486284289317,26.26,,,-0.49987022849999935,0.09143807148794693
2022-01-19,49480.977150000064,0.11396508728179555,0.11448462177888657,25.98,0.07980049875311729,,-0.5051902284999994,0.07980049875311729
2022-01-20,48381.24917000006,0.10465502909393172,0.11325852036575265,25.58,,0.06317539484621777,-0.5161875082999994,0.06317539484621777
2022-01-21,48381.24917000006,0.09596841230257694,0.11144014962593556,24.98,,,-0.5161875082999994,0.038237738985868734
2022-01-24,48521.993760000056,0.085328345802161,0.10907107231920214,24.61,0.022859517871986732,,-0.5147800623999994,0.022859517871986732
2022-01-25,46610.30439000006,0.0726517040731502,0.10586034912718237,23.77,,-0.012053200332502043,-0.5338969560999993,-0.012053200332502043
2022-01-26,46748.53262000006,0.06005818786367401,0.10297173732335883,24.17,0.004571903574397464,,-0.5325146737999994,0.004571903574397464
2022-01-27,45798.53262000006,0.046799667497921915,0.09939733998337537,23.67,,,-0.5420146737999993,-0.016209476309226808
2022-01-28,46012.452670000064,0.03732335827098918,0.09657107231920241,23.95,,-0.004571903574397317,-0.5398754732999994,-0.004571903574397317
2022-02-07,46012.452670000064,0.02901080631753965,0.09371363258520386,24.61,,,-0.5398754732999994,0.022859517871986732
